Title,Date,Rating,Description_Short,Minimum_Players,Maximum_Players,Minimum_Playtime,Maximum_Playtime,Age,Weight,Publisher,Type_Primary_ID,Type_Secondary_ID,Category_Primary_ID,Category_Secondary_ID,Category_Tertiary_ID,Mechanic_Primary_ID,Mechanic_Secondary_ID,Mechanic_Tertiary_ID,Description_Long
Clank!: Legacy  Acquisitions Incorporated,2019,8.63,"Go forth, be bold, and ACQUIRE! in this campaign version of Clank!",2,4,90,120,13+,0,Renegade Game Studios,3917,0,3,31,46,47,49,56,"Clank! Legacy: Acquisitions Incorporated extends the deck-building fun of Clank! with legacy-style gameplay! Found your own franchise of the legendary adventuring company Acquisitions Incorporated, and shepherd your fledgling treasure-hunters to immortal corporate glory over the course of multiple games. Your game board, your deck, and your world change as you play to create a unique campaign tailored to your adventuring party. Be cunning, be bold, and most importantly be ready..."
Eclipse: Second Dawn for the Galaxy,2020,8.58,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",2,6,60,200,14+,3.6,Lautapelit.fi,3916,0,19,69,70,9,10,11,"A game of Eclipse places you in control of a vast interstellar civilization, competing for success with its rivals. You explore new star systems, research technologies, and build spaceships with which to wage war. There are many potential paths to victory, so you need to plan your strategy according to the strengths and weaknesses of your species, while paying attention to the other civilizations endeavors."
Root,2018,8.09,Decide the fate of the forest as woodland factions fight for contrasting goals.,2,4,60,90,10+,3.75,Leder Games,3916,3918,10,31,80,4,5,10,Root is a game of adventure and war in which 2 to 4 (1 to 6 with the Riverfolk expansion) players battle for control of a vast wilderness.
Viticulture Essential Edition,2015,8.04,Create the most prosperous winery in Italy from the Tuscan vineyard youve inherited.,1,6,45,90,13+,0,Stonemaier Games,3916,0,24,32,0,41,64,154,"In Viticulture, the players find themselves in the roles of people in rustic, pre-modern Tuscany who have inherited meager vineyards. They have a few plots of land, an old crushpad, a tiny cellar, and three workers. They each have a dream of being the first to call their winery a true success."
Everdell,2018,8.08,Gather resources to develop a harmonious village of woodland critters and structures.,1,4,40,80,13+,0,Starling Games (II),3914,3916,10,15,17,41,56,64,"Within the charming valley of Everdell, beneath the boughs of towering trees, among meandering streams and mossy hollows, a civilization of forest critters is thriving and expanding. From Everfrost to Bellsong, many a year have come and gone, but the time has come for new territories to be settled and new cities established. You will be the leader of a group of critters intent on just such a task. There are buildings to construct, lively characters to meet, events to hostâ€”you have a busy year ahead of yourself. Will the sun shine brightest on your city before the winter moon rises?"
OrlÃ©ans,2014,8.07,"Craftsmen, scholars & monks can help you reign supremeâ€”but who will turn up to help?",2,4,90,90,12+,3.04,dlp games,3916,0,44,67,76,41,47,56,"During the medieval goings-on around OrlÃ©ans, you must assemble a following of farmers, merchants, knights, monks, etc. to gain supremacy through trade, construction and science in medieval France."
Lost Ruins of Arnak,2020,8.1,Explore an island to find resources and discover the lost ruins of Arnak.,1,4,30,120,12+,0,Czech Games Edition,3914,3916,3,29,76,47,98,109,"On an uninhabited island in uncharted seas, explorers have found traces of a great civilization. Now you will lead an expedition to explore the island, find lost artifacts, and face fearsome guardians, all in a quest to learn the islands secrets."
Mage Knight Board Game,2011,8.09,"Build your heroâ€™s spells, abilities, and artifacts as you explore & conquer cities.",1,4,60,240,14+,4.34,WizKids (I),3916,3917,3,29,31,42,47,50,"The Mage Knight board game puts you in control of one of four powerful Mage Knights as you explore (and conquer) a corner of the Mage Knight universe under the control of the Atlantean Empire. Build your army, fill your deck with powerful spells and actions, explore caves and dungeons, and eventually conquer powerful cities controlled by this once-great faction! In competitive scenarios, opposing players may be powerful allies, but only one will be able to claim the land as their own. In cooperative scenarios, the players win or lose as a group. Solo rules are also included."
Food Chain Magnate,2015,8.1,Strategically hire and manage your workforce to outcompete rival fast food chains.,2,5,120,240,14+,4.21,Splotter Spellen,3916,0,24,37,0,49,73,91,"Lemonade? They want lemonade? What is the world coming to? I want commercials for burgers on all channels, every 15 minutes. We are the Home of the Original Burger, not a hippie health haven. And place a billboard next to that new house on the corner. I want them craving beer every second they sit in their posh new garden. The new management trainee trembles in front of the CEO and tries to politely point out that... How do you mean, we dont have enough staff? The HR director reports to you. Hire more people! Train them! But whatever you do, dont pay them any real wages. I did not go into business to become poor. And fire that discount manager, she is only costing me money. From now on, well sell gourmet burgers. Same crap, double the price. Get my marketing director in here!"
Barrage,2019,8.22,Nations vie for hydroelectric dominance in a dystopia where water is power.,1,4,60,120,14+,4.07,Cranio Creations,3916,0,24,27,37,2,41,56,"In the dystopic 1930s, the industrial revolution pushed the exploitation of fossil-based resources to the limit, and now the only thing powerful enough to quench the thirst for power of the massive machines and of the unstoppable engineering progress is the unlimited hydroelectric energy provided by the rivers."
Marvel Champions: The Card Game,2019,8.18,Battle Marvel villains with unique teams of iconic heroes in this LCG.,1,4,45,90,14+,0,Fantasy Flight Games,3913,0,15,20,21,42,46,64,"With great power, there must also come great responsibility.
Stan Lee, Amazing Fantasy #15"
Puerto Rico,2002,7.95,"Ship goods, construct buildings, and choose roles that benefit you more than others.",3,5,90,150,12+,3.28,Ravensburger,3916,0,17,24,32,2,56,60,"In Puerto Rico, players assume the roles of colonial governors on the island of Puerto Rico. The aim of the game is to amass victory points by shipping goods to Europe or by constructing buildings."
Too Many Bones,2017,8.4,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,1,4,60,120,12+,3.86,Chip Theory Games,3916,3917,3,23,31,42,47,50,"Too Many Bones comes loaded for bear by breaking into a new genre: the dice-builder RPG. This game takes everything you think you know about dice-rolling and turns it on its head. Dripping with strategy, this fantasy-based RPG puts you in the skin of a new race and takes you on an adventure to the northern territories to root out and defeat growing enemy forces and of course the infamous baddie responsible."
Caverna: The Cave Farmers,2013,7.99,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",1,7,30,210,12+,3.79,Lookout Games,3916,0,10,24,31,23,74,154,"Following along the same lines as its predecessor (Agricola), Caverna: The Cave Farmers is a worker-placement game at heart, with a focus on farming. In the game, you are the bearded leader of a small dwarf family that lives in a little cave in the mountains. You begin the game with a farmer and his spouse, and each member of the farming family represents an action that the player can take each turn. Together, you cultivate the forest in front of your cave and dig deeper into the mountain. You furnish the caves as dwellings for your offspring as well as working spaces for small enterprises."
Blood Rage,2015,7.97,RagnarÃ¶k has come! Secure your place in Valhalla in epic Viking battles.,2,4,60,90,14+,0,Cool Mini Or Not,3916,0,31,33,46,3,10,11,Life is Battle; Battle is Glory; Glory is ALL
Pax Pamir: Second Edition,2019,8.31,Swing the tides of The Great Game as countries vie for control of Afghanistan.,1,5,45,120,13+,3.84,Wehrlegig Games,3916,0,24,25,54,3,10,11,"In Pax Pamir, players assume the role of nineteenth century Afghan leaders attempting to forge a new state after the collapse of the Durrani Empire. Western histories often call this period The Great Game because of the role played by the Europeans who attempted to use central Asia as a theater for their own rivalries. In this game, those empires are viewed strictly from the perspective of the Afghans who sought to manipulate the interloping ferengi (foreigners) for their own purposes."
Agricola,2007,7.91,Build your farmstead by sowing fields and raising livestock. But dont forget to eat!,1,5,30,150,12+,3.64,Lookout Games,3916,0,10,24,32,23,34,55,Description from BoardgameNews
Underwater Cities,2018,8.09,"Develop future cities on the seafloor through politics, production, and science.",1,4,80,150,12+,3.61,Delicious Games,3916,0,15,17,19,56,64,73,"In Underwater Cities, which takes about 30-45 minutes per player, players represent the most powerful brains in the world, brains nominated due to the overpopulation of Earth to establish the best and most livable underwater areas possible."
Anachrony,2017,8.11,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,1,4,30,120,15+,4.02,PÃ©ter MeszlÃ©nyi,3916,0,24,69,0,50,154,177,"It is the late 26th century. Earth is recovering from a catastrophic explosion that exterminated the majority of the population centuries ago and made most of the surface uninhabitable due to unearthly weather conditions. The surviving humans organized along four radically different ideologies, called Paths, to rebuild the world as they see fit: Harmony, Dominance, Progress, and Salvation. Followers of the four Paths live in a fragile peace, but in almost complete isolation next to each other. Their only meeting point is the last major city on Earth, now just known as the Capital."
Maracaibo,2019,8.13,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,1,4,30,120,12+,3.9,Games Up,3916,0,24,29,59,41,56,57,"Maracaibo, a strategy game for 1-4 players by Alexander Pfister, is set in the Caribbean during the 17th century. The players try to increase their influence in three nations in four rounds with a play time of 40 minutes per player."
Pandemic Legacy: Season 2,2017,8.08,The world is a mystery after a devastating pandemicâ€”where will your team go?,2,4,60,60,14+,3.25,Z-Man Games,3916,3917,27,29,43,42,64,82,Description from the publisher:
Mansions of Madness: Second Edition,2016,8,Unravel mysteries in Arkham with your investigative team in this app-guided game.,1,5,120,180,14+,0,Fantasy Flight Games,3917,0,3,29,31,11,42,50,"Mansions of Madness: Second Edition is a fully co-operative, app-driven board game of horror and mystery for one to five players that takes place in the same universe as Eldritch Horror and Elder Sign. Let the immersive app guide you through the veiled streets of Innsmouth and the haunted corridors of Arkhams cursed mansions as you search for answers and respite. Eight brave investigators stand ready to confront four scenarios of fear and mystery, collecting weapons, tools, and information, solving complex puzzles, and fighting monsters, insanity, and death. Open the door and step inside these hair-raising Mansions of Madness: Second Edition. It will take more than just survival to conquer the evils terrorizing this town."
The Crew: Mission Deep Sea,2021,8.33,Dive into the deep sea in this co-operative trick-taking game.,2,5,20,20,10+,0,KOSMOS,3914,3916,15,53,0,38,42,143,"In the trick-taking card game The Crew: Mission Deep Sea, you and the other players work together to search for the lost continent of Mu. This new adventure takes your crew deep down into the abyss on a search for the fabled sunken land. How far you get depends entirely on how well you work together as a team. Card by card, trick by trick, your search party will discover the challenges that lie ahead and forge a path to Mu."
The Crew: The Quest for Planet Nine,2019,7.91,Go on a planet-discovering space mission in this cooperative trick-taking game.,2,5,20,20,10+,0,KOSMOS,3914,0,15,69,70,38,42,64,"In the co-operative trick-taking game The Crew: The Quest for Planet Nine, the players set out as astronauts on an uncertain space adventure. What are the rumors regarding the unknown planet about? The eventful journey through space extends over 50 exciting missions. But this game can only be defeated by meeting common individual tasks of each player. In order to meet the varied challenges communication is essential in the team. But this is more difficult than expected in space."
On Mars,2020,8.24,"Be a part of the first Martian colony, striving to be the best contributor.",1,4,90,150,14+,4.66,Eagle-Gryphon Games,3916,0,17,24,29,34,41,49,"Following the success of unmanned rover missions, the United Nations established the Department of Operations and Mars Exploration (D.O.M.E.). The first settlers arrived on Mars in the year 2037 and in the decades after establishment Mars Base Camp, private exploration companies began work on the creation of a self-sustaining colony. As chief astronaut for one of these enterprises, you want to be a pioneer in the development of the biggest, most advanced colony on Mars by achieving both D.O.M.E. mission goals as well as your companyâ€™s private agenda."
Tzolkin: The Mayan Calendar,2012,7.88,"Lead your people, build monuments and make offerings to earn the favour of the gods.",2,4,90,90,13+,3.67,Czech Games Edition,3916,0,9,19,24,25,56,177,"Tzolkin: The Mayan Calendar presents a new game mechanism: dynamic worker placement. Players representing different Mayan tribes place their workers on giant connected gears, and as the gears rotate they take the workers to different action spots."
Power Grid,2004,7.83,"Bid, network, and manage resources in a race to supply the most cities with power.",2,6,120,120,12+,3.26,Harald Lieske,3916,0,24,37,0,14,22,31,"Power Grid is the updated release of the Friedemann Friese crayon game Funkenschlag. It removes the crayon aspect from network building in the original edition, while retaining the fluctuating commodities market like Crude: The Oil Game and an auction round intensity reminiscent of The Princes of Florence."
Clans of Caledonia,2017,7.97,"Lead your unique Scottish clan to economic might via production, trade, and export.",1,4,30,120,12+,3.47,Karma Games,3916,0,24,32,0,37,41,50,"Clans of Caledonia is a mid-to-heavy economic game set in 19th-century Scotland. At this time, Scotland made the transition from an agricultural to an industrialized country that heavily relied on trade and export. In the following years, food production increased significantly to feed the population growth. Linen was increasingly substituted by the cheaper cotton and raising sheep was given high importance. More and more distilleries were founded and whisky became the premium alcoholic beverage in Europe."
Le Havre,2008,7.86,"Establish a supply chain by collecting resources, building industries, and shipping.",1,5,30,150,12+,3.73,Lookout Games,3916,0,17,24,37,23,56,74,"In Le Havre, a players turn consists of two parts: First, distribute newly supplied goods onto the offer spaces; then take an action. As an action, players may choose either to take all goods of one type from an offer space or to use one of the available buildings. Building actions allow players to upgrade goods, sell them or use them to build their own buildings and ships. Buildings are both an investment opportunity and a revenue stream, as players must pay an entry fee to use buildings that they do not own. Ships, on the other hand, are primarily used to provide the food that is needed to feed the workers."
Crokinole,1876,7.98,Flick discs and make trick shots in this traditional Canadian dexterity game!,2,4,30,30,8+,0,Orlando Ramirez,3914,0,2,0,0,59,166,0,Crokinole is a dexterity traditional game.
Star Wars: Imperial Assault,2014,7.99,Play as Rebel or Imperial forces to fulfill mission objectives.,1,5,60,120,14+,3.3,Fantasy Flight Games,3917,0,3,29,33,50,51,63,"Star Wars: Imperial Assault is a strategy board game of tactical combat and missions for two to five players, offering two distinct games of battle and adventure in the Star Wars universe!"
Kingdom Death: Monster,2015,8.56,Try to survive in a nightmarish world that lies under eternal darkness.,1,4,60,180,17+,4.26,Kingdom Death,3917,0,3,31,35,42,44,50,"Kingdom Death: Monster is a fully cooperative tabletop hobby game experience. Set in a unique nightmarish world devoid of most natural resources, you control a settlement at the dawn of its existence. Fight monsters, craft weapons and gear, and develop your settlement to ensure your survival from generation to generation."
Mechs vs. Minions,2016,8,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,2,4,60,120,14+,0,Riot Games,3916,3917,31,33,46,4,25,42,"Mechs vs. Minions is a cooperative tabletop campaign for 2-4 players. Set in the world of Runeterra, players take on the roles of four intrepid Yordles: Corki, Tristana, Heimerdinger, and Ziggs, who must join forces and pilot their newly-crafted mechs against an army of marauding minions. With modular boards, programmatic command lines, and a story-driven campaign, each mission will be unique, putting your teamwork, programming, and piloting skills to the test."
Lisboa,2017,8.2,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.,1,4,60,120,12+,4.57,Eagle-Gryphon Games,3916,0,17,24,37,10,64,110,Lisboa is a game about the reconstruction of Lisboa after the great earthquake of 1755.
Pandemic Legacy: Season 0,2020,8.53,Work together during the Cold War to prevent a Soviet bio-threat.,2,4,45,60,14+,3.1,Z-Man Games,3916,3917,71,0,0,3,42,64,"1962 â€” The Cold War continues as a new threat looms on the horizon, a deadly new Soviet bioweapon, something called Project MEDUSA. You and your fellow medical graduates have been recruited by the CIA for the critical mission of investigating and preventing its development. Travel the world using carefully constructed aliases to move swiftly between Allied, Neutral, and Soviet cities. Your missions will require you to neutralize enemy agents, acquire specific targets, and set up other CIA agents on location to execute your operations without a hitch. As you complete objectives over the course of twelve months, each success or failure will bring you closer to the truth."
The Quacks of Quedlinburg,2018,7.85,"Pull ingredients from your stock to make your pot bubble, but hopefully not explode!",2,4,45,45,10+,0,Schmidt Spiele,3914,0,44,0,0,31,47,49,"In The Quacks of Quedlinburg, players are charlatans â€” or quack doctors â€” each making their own secret brew by adding ingredients one at a time. Take care with what you add, though, for a pinch too much of this or that will spoil the whole mixture!"
Cascadia,2021,8.02,Create the most harmonious ecosystem as you puzzle together habitats and wildlife.,1,4,30,45,10+,0,Flatout Games,3911,3914,10,64,0,56,65,110,Cascadia is a puzzly tile-laying and token-drafting game featuring the habitats and wildlife of the Pacific Northwest.
The Gallerist,2015,8.05,"Amass a fortune, and stake your reputation by operating a lucrative art gallery.",1,4,60,150,13+,4.27,Eagle-Gryphon Games,3916,0,24,0,0,37,77,148,This age of art and capitalism has created a need for a new occupation - The Gallerist.
Paladins of the West Kingdom,2019,8.02,Invaders are coming from everywhere. Keep the faith and defend your homeland.,1,4,90,120,12+,3.7,Renegade Game Studios,3916,0,44,0,0,91,110,154,"Paladins of the West Kingdom is set at a turbulent time of West Francias story, circa 900 AD. Despite recent efforts to develop the city, outlying townships are still under threat from outsiders. Saracens scout the borders, while Vikings plunder wealth and livestock. Even the Byzantines from the east have shown their darker side. As noble men and women, players must gather workers from the city to defend against enemies, build fortifications and spread faith throughout the land. Fortunately you are not alone. In his great wisdom, the King has sent his finest knights to help aid in our efforts. So ready the horses and sharpen the swords. The Paladins are approaching."
Azul,2017,7.78,Artfully embellish the walls of your palace by drafting the most beautiful tiles.,2,4,30,45,8+,0,Plan B Games,3911,3914,1,64,68,56,110,116,"Introduced by the Moors, azulejos (originally white and blue ceramic tiles) were fully embraced by the Portuguese when their king Manuel I, on a visit to the Alhambra palace in Southern Spain, was mesmerized by the stunning beauty of the Moorish decorative tiles. The king, awestruck by the interior beauty of the Alhambra, immediately ordered that his own palace in Portugal be decorated with similar wall tiles. As a tile-laying artist, you have been challenged to embellish the walls of the Royal Palace of Evora."
Android: Netrunner,2012,7.88,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.,2,2,45,45,14+,3.4,Fantasy Flight Games,3913,0,13,15,20,3,46,64,"Welcome to New Angeles, home of the Beanstalk. From our branch offices in this monument of human achievement, NBN proudly broadcasts all your favorite media programming. We offer fully comprehensive streaming in music and threedee, news and sitcoms, classic movies and sensies. We cover it all. Ours is a brave new age, and as humanity hurtles into space and the future with an astonishing series of new advances every day, NBN and our affiliates are keeping pace, bringing you all the vid thats fit to view."
